scenario,base_controller,seed,mode,window,first_cycle,last_cycle,cycles,simulated_hours,vehicles_demanded,vehicles_admitted,vehicles_rejected,vehicles_served_stop_line,vehicles_exited,throughput_vehicles_per_hour,blocked_vehicle_cycles,waiting_vehicle_seconds,waiting_seconds_per_admitted,waiting_minutes_per_admitted,average_queue_vehicles,max_queue_vehicles,final_queue_vehicles,in_transit_final_vehicles,node_cycles,plan_changes,plan_change_rate,green_seconds_ns,green_seconds_ew,ns_green_share,phase_utilization_ns,phase_utilization_ew,emergency_priority_cycles,emergency_priority_node_cycles,emergency_override_plan_changes,emergency_completed,emergency_entry_cycle,emergency_completion_cycle,emergency_travel_time_s,emergency_free_flow_time_s,emergency_delay_s,emergency_stops,emergency_prioritized_intersections,fuel_liters_proxy,co2_kg_proxy,fuel_liters_proxy_per_admitted,co2_kg_proxy_per_admitted,idle_fuel_rate_lph_assumed,emission_factor_kg_per_liter_assumed
balanced_medium,fixed,1,B_corridor,post,44,89,46,0.7666666666666667,5479.077977956555,5479.077977956555,0.0,13111.577552696908,5475.8199847083415,7142.373893097836,0.0,393347.3265809072,71.79078818798045,1.1965131364663408,5.938214471330121,14.988512358785085,0.0,165.99946893074105,276,0,0.0,8280.0,8280.0,0.5,0.8021576257751312,0.7813662332462328,0,0,0,True,40,42,142.0,90.0,52.0,3,4,65.55788776348453,153.9100583499655,0.011965131364663407,0.028090503360086675,0.6,2.347697029306865
balanced_medium,fixed,1,B_corridor,total,30,89,60,1.0,7147.969356035993,7147.969356035993,0.0,17120.818097392454,7152.62587862233,7152.62587862233,0.0,515280.74696850276,72.08771069134227,1.2014618448557044,5.963897534357671,20.496078049119966,0.0,165.99946893074105,360,8,0.022598870056497175,10770.0,10830.0,0.4986111111111111,0.8036477398808665,0.7816742325831495,3,5,5,True,40,42,142.0,90.0,52.0,3,4,85.88012449475045,201.62051315282937,0.012014618448557043,0.028206684039932827,0.6,2.347697029306865
balanced_medium,fixed,2,A_no_override,during,40,43,4,0.06666666666666667,493.70971233377554,493.70971233377554,0.0,1169.0568220865366,484.2569230052928,7263.853845079392,0.0,35071.704662596094,71.03709687381165,1.1839516145635274,6.088837615034044,14.770978374351081,0.0,178.50886130384197,24,0,0.0,720.0,720.0,0.5,0.8252023693323898,0.798487661343355,0,0,0,True,40,43,209.14334248736486,90.0,119.14334248736486,3,0,5.845284110432682,13.722956141517429,0.011839516145635274,0.0277955968835386,0.6,2.347697029306865
balanced_medium,fixed,2,A_no_override,post,44,89,46,0.7666666666666667,5435.5254017781845,5435.5254017781845,0.0,13081.085456007357,5455.26761807976,7115.566458364904,0.0,392432.5636802207,72.19772417066432,1.2032954028444052,5.924404644930868,14.97325629672579,0.0,158.7666450022673,276,0,0.0,8280.0,8280.0,0.5,0.7857142340182252,0.7941270046300047,0,0,0,True,40,43,209.14334248736486,90.0,119.14334248736486,3,0,65.40542728003678,153.55212732588853,0.012032954028444051,0.028249730426364174,0.6,2.347697029306865
balanced_medium,fixed,2,A_no_override,total,30,89,60,1.0,7140.002581027705,7140.002581027705,0.0,17145.036962776565,7143.469411358988,7143.469411358988,0.0,514351.10888329695,72.03794439094771,1.2006324065157952,5.953137834297419,14.97325629672579,0.0,158.7666450022673,360,0,0.0,10800.0,10800.0,0.5,0.7925942776164787,0.7949091448628325,0,0,0,True,40,43,209.14334248736486,90.0,119.14334248736486,3,0,85.72518481388282,201.25676172433467,0.012006324065157952,0.028187211340666846,0.6,2.347697029306865
balanced_medium,fixed,2,B_corridor,during,40,43,4,0.06666666666666667,493.70971233377554,493.70971233377554,0.0,1166.251002149964,483.41804802449764,7251.2707203674645,0.0,36618.05810995671,74.16920752249825,1.2361534587083043,6.357301755200818,16.07293449958121,0.7770337179390836,178.57070256669803,24,6,0.3333333333333333,690.0,750.0,0.4791666666666667,0.8609911081977748,0.7628895166579991,3,5,5,True,40,42,140.825319354572,90.0,50.825319354572,3,4,6.103009684992785,14.328017707288588,0.012361534587083042,0.02902113802776892,0.6,2.347697029306865
balanced_medium,fixed,2,B_corridor,post,44,89,46,0.7666666666666667,5435.5254017781845,5435.5254017781845,0.0,13083.89127594393,5456.106493060554,7116.660643122462,0.0,392545.04947913595,72.21841872925813,1.2036403121543022,5.926102800107729,15.471853346967787,0.0,158.7666450022673,276,0,0.0,8280.0,8280.0,0.5,0.7857217027697777,0.7944584030205503,0,0,0,True,40,42,140.825319354572,90.0,50.825319354572,3,4,65.42417491318932,153.59614108854728,0.01203640312154302,0.028257827851986425,0.6,2.347697029306865
balanced_medium,fixed,2,B_corridor,total,30,89,60,1.0,7140.002581027705,7140.002581027705,0.0,17145.036962776565,7143.469411358988,7143.469411358988,0.0,516009.9481295728,72.27027473361225,1.2045045788935376,5.972337362610796,16.07293449958121,0.0,158.7666450022673,360,8,0.022598870056497175,10770.0,10830.0,0.4986111111111111,0.7948020611195885,0.7927071804726307,3,5,5,True,40,42,140.825319354572,90.0,50.825319354572,3,4,86.00165802159547,201.9058370527646,0.012045045788935376,0.028278118216548746,0.6,2.347697029306865
balanced_medium,fixed,3,A_no_override,during,40,43,4,0.06666666666666667,466.18798224132195,466.18798224132195,0.0,1121.6628243982418,471.487498836551,7072.3124825482655,0.0,33649.884731947255,72.18093561778778,1.2030155936297964,5.841993877074176,14.971873887516715,0.0,169.6323029241069,24,0,0.0,720.0,720.0,0.5,0.7839595088147492,0.7739055250716974,0,0,0,True,40,43,204.17050978995167,90.0,114.17050978995167,4,0,5.608314121991209,13.1666224036185,0.012030155936297963,0.028243161353745078,0.6,2.347697029306865
balanced_medium,fixed,3,A_no_override,post,44,89,46,0.7666666666666667,5542.39579183507,5542.39579183507,0.0,13334.143122156818,5552.714481931832,7242.671063389345,0.0,400024.29366470454,72.1753387323964,1.2029223122066066,6.039014095179718,14.971873887516715,0.0,159.31361282734477,276,0,0.0,8280.0,8280.0,0.5,0.8001079045974986,0.8102958541170926,0,0,0,True,40,43,204.17050978995167,90.0,114.17050978995167,4,0,66.67071561078409,156.52264098120062,0.012029223122066066,0.028240971388543954,0.6,2.347697029306865
balanced_medium,fixed,3,A_no_override,total,30,89,60,1.0,7200.3076229423605,7200.3076229423605,0.0,17295.572077354987,7203.639257220267,7203.639257220267,0.0,518867.1623206496,72.06180478558746,1.2010300797597908,6.005406971303815,14.997369102161212,0.0,159.31361282734477,360,0,0.0,10800.0,10800.0,0.5,0.7994991712004824,0.8019426878138683,0,0,0,True,40,43,204.17050978995167,90.0,114.17050978995167,4,0,86.47786038677492,203.0238159308453,0.012010300797597908,0.028196547503602478,0.6,2.347697029306865
balanced_medium,fixed,3,B_corridor,during,40,43,4,0.06666666666666667,466.18798224132195,466.18798224132195,0.0,1105.3581475072529,464.1527614344109,6962.291421516164,0.0,35158.01379518058,75.41595908618051,1.2569326514363417,6.103821839441073,22.334737402140124,5.623192315903214,171.3438480103438,24,6,0.3333333333333333,690.0,750.0,0.4791666666666667,0.8031355148488045,0.7349261896821035,3,5,5,True,40,42,140.47830151836342,90.0,50.47830151836342,3,4,5.859668965863429,13.756727423879203,0.012569326514363417,0.029508970518159004,0.6,2.347697029306865
balanced_medium,fixed,3,B_corridor,post,44,89,46,0.7666666666666667,5542.39579183507,5542.39579183507,0.0,13350.447799047808,5560.049219333971,7252.238112174745,0.0,400513.4339714342,72.26359304065967,1.204393217344328,6.04639845971368,15.0,0.0,159.31361282734477,276,0,0.0,8280.0,8280.0,0.5,0.8013503370976126,0.8110225854927019,0,0,0,True,40,42,140.47830151836342,90.0,50.47830151836342,3,4,66.75223899523903,156.71403318870455,0.012043932173443277,0.02827550378476616,0.6,2.347697029306865
balanced_medium,fixed,3,B_corridor,total,30,89,60,1.0,7200.3076229423605,7200.3076229423605,0.0,17295.572077354987,7203.639257220267,7203.639257220267,0.0,520864.43169061263,72.3391914577345,1.2056531909622417,6.028523514937646,22.334737402140124,0.0,159.31361282734477,360,8,0.022598870056497175,10770.0,10830.0,0.4986111111111111,0.8017261883904562,0.7997212399251872,3,5,5,True,40,42,140.47830151836342,90.0,50.47830151836342,3,4,86.8107386151021,203.80531315860995,0.012056531909622416,0.028305084147963972,0.6,2.347697029306865
balanced_medium,fixed,4,A_no_override,during,40,43,4,0.06666666666666667,501.5094586909853,501.5094586909853,0.0,1201.9625830166742,503.83529956816204,7557.529493522431,0.0,36058.87749050023,71.9006927299423,1.1983448788323718,6.260221786545179,14.997154842146532,0.0,167.4006775501794,24,0,0.0,720.0,720.0,0.5,0.8440591157371412,0.825333360674906,0,0,0,True,40,43,207.87625853388727,90.0,117.87625853388727,4,0,6.009812915083371,14.109219927431262,0.011983448788323718,0.028133507121198543,0.6,2.347697029306865
balanced_medium,fixed,4,A_no_override,post,44,89,46,0.7666666666666667,5573.679673564908,5573.679673564908,0.0,13378.6525691248,5584.024405923208,7283.510094682445,0.0,401359.57707374403,72.00980332209076,1.2001633887015126,6.059172359205073,14.994636134432824,0.0,157.05594519187946,276,0,0.0,8280.0,8280.0,0.5,0.8108267506995409,0.8049525450884788,0,0,0,True,40,43,207.87625853388727,90.0,117.87625853388727,4,0,66.89326284562401,157.04511446331477,0.012001633887015127,0.02817620022337402,0.6,2.347697029306865
balanced_medium,fixed,4,A_no_override,total,30,89,60,1.0,7279.566250065799,7279.566250065799,0.0,17458.421796233044,7278.718285933929,7278.718285933929,0.0,523752.6538869913,71.9483326197158,1.1991388769952633,6.061952012580918,14.997154842146532,0.0,157.05594519187946,360,0,0.0,10800.0,10800.0,0.5,0.8104945527519838,0.806025983936262,0,0,0,True,40,43,207.87625853388727,90.0,117.87625853388727,4,0,87.29210898116523,204.93542493701273,0.011991388769952633,0.028152147792481503,0.6,2.347697029306865
balanced_medium,fixed,4,B_corridor,during,40,43,4,0.06666666666666667,501.5094586909853,501.5094586909853,0.0,1188.2779996759728,493.04549987734543,7395.682498160181,0.0,38182.207832448126,76.13457168307333,1.2689095280512221,6.628855526466689,21.000854503037978,5.739803419119951,172.45067382187608,24,6,0.3333333333333333,690.0,750.0,0.4791666666666667,0.8671664029566888,0.7865775755144765,3,5,5,True,40,42,142.0,90.0,52.0,3,4,6.3637013054080205,14.94004265010263,0.012689095280512222,0.029790151294650305,0.6,2.347697029306865
