scenario,controller,seeds,seed_list,waiting_seconds_per_admitted_mean,waiting_vehicle_seconds_mean,average_queue_vehicles_mean,max_queue_vehicles_mean,throughput_vehicles_per_hour_mean,vehicles_rejected_mean,blocked_vehicle_cycles_mean,final_queue_vehicles_mean,fuel_liters_proxy_mean,co2_kg_proxy_mean,fuel_liters_proxy_per_admitted_mean,co2_kg_proxy_per_admitted_mean,plan_change_rate_mean,ns_green_share_mean,phase_utilization_ns_mean,phase_utilization_ew_mean,waiting_seconds_per_admitted_pct_vs_fixed_of_means,waiting_vehicle_seconds_pct_vs_fixed_of_means,average_queue_vehicles_pct_vs_fixed_of_means,max_queue_vehicles_pct_vs_fixed_of_means,throughput_vehicles_per_hour_pct_vs_fixed_of_means,vehicles_rejected_pct_vs_fixed_of_means,blocked_vehicle_cycles_pct_vs_fixed_of_means,final_queue_vehicles_pct_vs_fixed_of_means,fuel_liters_proxy_pct_vs_fixed_of_means,co2_kg_proxy_pct_vs_fixed_of_means,fuel_liters_proxy_per_admitted_pct_vs_fixed_of_means,co2_kg_proxy_per_admitted_pct_vs_fixed_of_means,seeds_waiting_per_admitted_better_than_fixed,seeds_waiting_per_admitted_worse_than_fixed
ew_heavy,fixed,5,0 1 2 3 4,140.83410281265327,811511.0929581277,9.392489501830182,40.0,5762.738044866298,705.4448657358628,0.0,99.27216899174482,135.25184882635463,317.5303636978939,0.023472350468775542,0.055105967466393936,0.0,0.5,0.4004522337925541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0
ew_heavy,adaptive,5,0 1 2 3 4,131.42385605945708,845235.6110724375,9.782819572597655,40.0,6408.63823198459,36.656004151608975,0.0,100.88175698602274,140.87260184540622,330.726188863189,0.021903976009909516,0.0514238994084734,0.6898305084745763,0.4023148148148148,0.4977805342298269,0.9938681560329764,-6.681795506386913,4.155767974948665,4.155767974948646,0.0,11.208217033111339,-94.80384563953523,,1.6213889659364298,4.155767974948638,4.155767974948668,-6.681795506386888,-6.681795506386893,5,0
ew_heavy,qubo_static,5,0 1 2 3 4,86.23475410154235,556700.0449859591,6.443287557707859,40.0,6528.725403033413,12.100450571917005,0.0,2.3968655754508896,92.78334083099317,217.82717363808902,0.014372459016923725,0.033742179337866496,0.0,0.3333333333333333,0.6006783506888311,0.9120391481025438,-38.76855649355224,-31.39957668888161,-31.399576688881613,0.0,13.292073181245689,-98.28470640872908,,-97.58556139168249,-31.399576688881623,-31.39957668888161,-38.768556493552225,-38.76855649355222,5,0
ew_heavy,qubo_receding,5,0 1 2 3 4,87.2211761433539,562990.8907869771,6.516098272997421,40.0,6527.687849118729,12.35494228181642,0.0,3.6006575852588227,93.83181513116286,220.288673637902,0.014536862690558983,0.034128149354067126,0.0288135593220339,0.3375,0.5933891962733723,0.9175021656628776,-38.06814230259186,-30.62437523376821,-30.62437523376821,0.0,13.27406865099277,-98.24863105794543,,-96.37294357338133,-30.624375233768212,-30.6243752337682,-38.06814230259186,-38.068142302591845,5,0
ew_heavy,qaoa_p1_saved,1,0,135.752094249395,836332.0850910099,9.679769503368169,40.0,6137.0274477551075,322.3989176411583,520.0,104.63990216716122,139.38868084850162,327.24239194703,0.022625349041565827,0.05311746473191502,0.0,0.3611111111111111,0.554205427829122,0.8714537902008553,-3.5372722040183144,3.104429027615432,3.104429027615417,0.0,6.53822276344377,-55.17606011156795,,4.639902167161225,3.104429027615411,3.1044290276154243,-3.5372722040183326,-3.5372722040183326,1,0
time_varying,fixed,5,0 1 2 3 4,103.42915166452804,680685.4316759177,7.878303607360159,40.0,6613.988145745384,249.05167776331865,0.0,99.27216899174482,113.44757194598628,266.34052763966884,0.017238191944088006,0.04047005201775694,0.0,0.5,0.6334614910266702,0.8894015344051353,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0
time_varying,adaptive,5,0 1 2 3 4,99.54066691048483,679043.4022483962,7.859298637134215,40.0,6844.2733514472875,8.395502632606574,0.0,93.24869401303832,113.1739003747327,265.6980297048311,0.016590111151747473,0.038948554666828235,0.764406779661017,0.4686111111111111,0.6759847251718536,0.9046300326413423,-3.75956361573523,-0.2412317571537659,-0.24123175715378212,0.0,3.4817904209586525,-96.62901181473467,,-6.067637123157244,-0.2412317571537671,-0.2412317571537579,-3.759563615735219,-3.7595636157352184,5,0
time_varying,qubo_static,5,0 1 2 3 4,139.99389544648633,806841.0327892433,9.33843787950513,40.0,5815.660553063814,1066.6514394366332,0.0,120.0,134.47350546487388,315.70304930036485,0.02333231590774772,0.05477720874346863,0.0,0.6666666666666666,0.4750961182700026,0.993132471323715,35.35245450001937,18.53361262671914,18.533612626719133,0.0,-12.070290648995403,328.2851852338471,,20.879800672007928,18.533612626719144,18.533612626719133,35.35245450001936,35.352454500019356,0,5
time_varying,qubo_receding,5,0 1 2 3 4,83.14561797808321,567908.7438673825,6.5730178688354455,39.498334865196874,6934.682766511872,0.0,0.0,3.817595380474515,94.65145731123042,222.2129451491412,0.013857602996347205,0.03253345338783824,0.05028248587570622,0.44351851851851853,0.7141698428543665,0.8820554661200755,-19.611041336038774,-16.568106582047356,-16.568106582047367,-1.254162837007815,4.848732923308651,-100.0,,-96.15441526134886,-16.56810658204736,-16.568106582047356,-19.611041336038753,-19.611041336038763,5,0
time_varying,qaoa_p1_saved,1,0,140.6417046129901,810684.3647596852,9.382920888422284,40.0,5817.61162431825,1075.8114445549218,0.0,120.0,135.11406079328086,317.20687914197265,0.023440284102165015,0.055030685352761746,0.0,0.6666666666666666,0.4750323926455106,0.9935664843844011,33.97374822202107,17.11975408190563,17.119754081905647,0.0,-12.214822064576213,336.74834592641974,,20.0,17.119754081905615,17.119754081905622,33.97374822202106,33.97374822202108,0,1
downstream_congested,fixed,5,0 1 2 3 4,189.03994007539376,1097099.775322637,12.697914066234226,40.0,5667.586946320049,670.369847356063,0.0,183.06277166695733,182.84996255377285,429.27631389636406,0.03150665667923229,0.07396808428922495,0.0,0.5,0.397551069523114,0.9914586835987509,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0
