case,seed,controller,cycles,start_cycle,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate,waiting_per_admitted,qubo_energy,plan_I1,plan_I2,plan_I3,plan_I4,plan_I5,plan_I6,one_hot_valid
ew_heavy,0,qubo_static,60,30,5763.873456880934,719.2560904811526,5760.399684328968,5760.399684328968,811150.4937067322,9.388315899383475,40.0,100.0,0.0,6483.129547362087,15122.80233706715,156.5127318255372,0.0,1.0,0.0,0,0.0,140.73010099456255,13502.920529642099,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
ew_heavy,0,qubo_receding,60,30,5763.873456880934,719.2560904811526,5760.399684328968,5760.399684328968,811150.4937067322,9.388315899383475,40.0,100.0,0.0,6483.129547362087,15122.80233706715,156.5127318255372,0.0,1.0,0.0,0,0.0,140.73010099456255,13614.654225818298,,,,,,,
ew_heavy,1,fixed,60,30,5764.448892808882,628.607355627341,5763.194186449585,5763.194186449585,810794.5922759551,9.384196669860591,40.0,100.0,0.0,6393.0562484362235,15127.643079258467,156.2792293228369,0.0,1.0,0.0,0,0.0,140.6543118610032,,,,,,,,
ew_heavy,1,adaptive,60,30,6363.199592319226,29.856656116996973,6353.194186449585,6353.194186449585,823584.31922089,9.53222591690845,40.0,82.3552671519214,0.0,6393.0562484362235,16980.424717660062,182.67466168125952,0.6472222222222223,0.24444444444444444,0.10833333333333334,249,0.7033898305084746,129.42927646258448,,,,,,,,
ew_heavy,1,qubo_static,60,30,5764.448892808882,628.607355627341,5763.194186449585,5763.194186449585,810794.5922759551,9.384196669860591,40.0,100.0,0.0,6393.0562484362235,15127.643079258467,156.2792293228369,0.0,1.0,0.0,0,0.0,140.6543118610032,13650.735688906163,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
ew_heavy,1,qubo_receding,60,30,5764.448892808882,628.607355627341,5763.194186449585,5763.194186449585,810794.5922759551,9.384196669860591,40.0,100.0,0.0,6393.0562484362235,15127.643079258467,156.2792293228369,0.0,1.0,0.0,0,0.0,140.6543118610032,13605.729590679819,,,,,,,
ew_heavy,2,fixed,60,30,5738.450899882145,695.453252374368,5741.959239486468,5741.959239486468,810356.6080947616,9.379127408504186,40.0,100.0,0.0,6433.904152256512,15080.00909912899,151.35520797099383,0.0,1.0,0.0,0,0.0,141.21522031519075,,,,,,,,
ew_heavy,2,adaptive,60,30,6384.971006283468,48.933145973044574,6371.460175077925,6371.460175077925,834654.2193667559,9.660349761189305,40.0,102.0191708098664,0.0,6433.904152256512,17048.51190590336,166.35520797099383,0.6166666666666667,0.3388888888888889,0.044444444444444446,269,0.7598870056497176,130.72169294823271,,,,,,,,
ew_heavy,2,qubo_static,60,30,5738.450899882145,695.453252374368,5741.959239486468,5741.959239486468,810356.6080947616,9.379127408504186,40.0,100.0,0.0,6433.904152256512,15080.00909912899,151.35520797099383,0.0,1.0,0.0,0,0.0,141.21522031519075,13621.844012882153,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
ew_heavy,2,qubo_receding,60,30,5738.450899882145,695.453252374368,5741.959239486468,5741.959239486468,810356.6080947616,9.379127408504186,40.0,100.0,0.0,6433.904152256512,15080.00909912899,151.35520797099383,0.0,1.0,0.0,0,0.0,141.21522031519075,13619.2864374061,,,,,,,
ew_heavy,3,fixed,60,30,5757.067367749534,729.2593311649376,5760.228156733073,5760.228156733073,812016.532188622,9.398339492923867,40.0,100.0,0.0,6486.326698914472,15117.295524482606,151.43450675814123,0.0,1.0,0.0,0,0.0,141.04690466841683,,,,,,,,
ew_heavy,3,adaptive,60,30,6463.099623350916,23.227075563556255,6445.228156733073,6445.228156733073,855339.7635398878,9.899765781711665,40.0,96.03225560138144,0.0,6486.326698914472,17267.295524482608,176.43450675814123,0.6611111111111111,0.29444444444444445,0.044444444444444446,224,0.632768361581921,132.34203607965134,,,,,,,,
ew_heavy,3,qubo_static,60,30,5757.067367749534,729.2593311649376,5760.228156733073,5760.228156733073,812016.532188622,9.398339492923867,40.0,100.0,0.0,6486.326698914472,15117.295524482606,151.43450675814123,0.0,1.0,0.0,0,0.0,141.04690466841683,13637.858872250392,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
ew_heavy,3,qubo_receding,60,30,5757.067367749534,729.2593311649376,5760.228156733073,5760.228156733073,812016.532188622,9.398339492923867,40.0,100.0,0.0,6486.326698914472,15117.295524482606,151.43450675814123,0.0,1.0,0.0,0,0.0,141.04690466841683,13642.555739720132,,,,,,,
ew_heavy,4,fixed,60,30,5787.177821012566,754.6482990315149,5787.908957333399,5787.908957333399,813237.2385245677,9.412468038478792,40.0,96.3608449587241,0.0,6541.82612004408,15176.670584860707,155.60011075814677,0.0,1.0,0.0,0,0.0,140.52397622409293,,,,,,,,
