case,seed,n_assignments,pearson_energy_vs_waiting,spearman_energy_vs_waiting,pearson_energy_vs_avg_queue,spearman_energy_vs_avg_queue,spearman_energy_vs_neg_exited,qubo_choice_rank_by_waiting,qubo_choice_waiting,best_static_waiting,worst_static_waiting,best_static_plans,qubo_gap_to_best_static_pct,energy_rank_of_best_static,short_horizon_pearson,short_horizon_spearman,short_horizon_max_abs_rel_error
ew_heavy,0,729,0.20683205690276701,0.1564953190163899,0.206832056902767,0.1564953190163899,0.9671503962930696,20,811150.4937067322,561578.3941737375,1192781.1732116435,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,44.441186150011255,1,1.0,0.9901736160385791,9.429756915823658e-16
ew_heavy,1,729,0.2163285395136155,0.16013392547701033,0.21632853951361555,0.16013392547701033,0.9610392318364545,24,810794.5922759551,547063.8066714533,1193765.515359633,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,48.2084141535777,33,1.0,0.9861632073274103,6.662605756201596e-16
ew_heavy,2,729,0.2049634504259918,0.12078920439275853,0.2049634504259918,0.12078920439275853,0.9632264282847255,23,810356.6080947616,557353.2700616763,1192943.6754338117,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,45.39371196388391,1,1.0000000000000002,0.9910949575078457,5.34138961457976e-16
ew_heavy,3,729,0.2205252634955213,0.14426862894578618,0.2205252634955213,0.14426862894578618,0.971606577171984,24,812016.532188622,552462.2809259628,1194179.7817149754,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,46.98135243326102,1,0.9999999999999998,0.9970006455345358,6.387861475053207e-16
ew_heavy,4,729,0.20488998464286276,0.1414945563291339,0.20488998464286268,0.1414945563291339,0.973593270162764,20,813237.2385245677,565042.4730969651,1194500.0955079591,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,43.92497506731864,1,1.0,0.9974230867985074,5.406642432887477e-16
time_varying,0,729,0.6033344908653714,0.5871153345355331,0.6033344908653714,0.5871153345355331,0.0011273009107970317,1,692184.1418764826,692184.1418764826,1598586.7137012228,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,0.9889589108081831,4.649752029052678e-16
time_varying,1,729,0.619648787650023,0.6047430648603381,0.619648787650023,0.6047430695431923,0.021684552194445365,1,666398.5800048386,666398.5800048386,1556437.6378467705,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,0.9999999999999999,0.989554000277143,8.973504191152586e-16
time_varying,2,729,0.5907574425643186,0.5745884494698148,0.5907574425643187,0.5745884494698148,-0.00808031115956458,1,669570.6897208054,669570.6897208054,1597356.8641605012,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,0.9953075986776959,6.78223759261908e-16
time_varying,3,729,0.6414746524493897,0.6259074596036847,0.6414746524493898,0.6259074644504262,-0.02608774376340083,1,691691.0081684751,691691.0081684751,1566988.3413402627,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,17,0.9999999999999998,0.9852440531598552,6.9767013743175725e-16
time_varying,4,729,0.6110706599525475,0.599229795262989,0.6110706599525475,0.599229795262989,-0.01923712583916582,1,683582.738608987,683582.738608987,1607069.9970305907,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,0.9975289972141076,9.089349174516938e-16
downstream_congested,0,729,0.47010090984011355,0.5242752191636111,0.47010090984011355,0.5242752191636111,0.7424362199280102,54,1034642.3660067433,624269.1442819922,1200035.780947803,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,65.73658581135624,1,0.9379339694944507,0.9414456266574203,0.05228758169934641
downstream_congested,1,729,0.41877855501819683,0.46155012848225146,0.4187785550181967,0.46155012848225146,0.7422640459162725,54,1075702.6999167867,580038.5836636992,1201450.3832069202,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,85.45364570789809,1,0.9379339694944507,0.9414456266574203,0.05228758169934641
downstream_congested,2,729,0.41882192924966644,0.4573494704134113,0.41882192924966644,0.4573494704134113,0.7418777123431761,58,1087531.9327276861,625788.0882892708,1199003.106024397,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,73.78597532923543,1,0.9379339694944507,0.9414456266574203,0.05228758169934641
downstream_congested,3,729,0.448443771682895,0.5139853105618861,0.4484437716828949,0.5139853105618861,0.7423039509098656,54,1060935.5838791744,607944.4081772175,1199879.4738300159,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,74.51194050129479,1,0.9379339694944507,0.9414456266574203,0.05228758169934641
downstream_congested,4,729,0.43856700483463007,0.48442755438098395,0.4385670048346302,0.48442755438098395,0.7424217001805614,57,1066934.98239928,617997.1745364836,1199507.5608116002,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,72.6439903547315,1,0.9379339694944507,0.9414456266574203,0.05228758169934641
