case,controller,seeds,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,waiting_per_admitted,vehicles_entered_pct_vs_fixed,vehicles_rejected_pct_vs_fixed,vehicles_exited_pct_vs_fixed,throughput_per_hour_pct_vs_fixed,total_waiting_time_pct_vs_fixed,average_queue_length_pct_vs_fixed,max_queue_length_pct_vs_fixed,final_queue_total_pct_vs_fixed,total_blocked_pct_vs_fixed,waiting_per_admitted_pct_vs_fixed,waiting_per_admitted_seeds_better_than_fixed,waiting_per_admitted_seeds_worse_than_fixed,throughput_per_hour_seeds_better_than_fixed,throughput_per_hour_seeds_worse_than_fixed,vehicles_entered_pct_vs_adaptive,vehicles_rejected_pct_vs_adaptive,vehicles_exited_pct_vs_adaptive,throughput_per_hour_pct_vs_adaptive,total_waiting_time_pct_vs_adaptive,average_queue_length_pct_vs_adaptive,max_queue_length_pct_vs_adaptive,final_queue_total_pct_vs_adaptive,total_blocked_pct_vs_adaptive,waiting_per_admitted_pct_vs_adaptive,waiting_per_admitted_seeds_better_than_adaptive,waiting_per_admitted_seeds_worse_than_adaptive,throughput_per_hour_seeds_better_than_adaptive,throughput_per_hour_seeds_worse_than_adaptive
ew_heavy,qubo_static,5,5762.203687666812,705.4448657358628,5762.738044866298,5762.738044866298,811511.0929581277,9.392489501830182,40.0,99.27216899174482,0.0,140.83410281265327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,-10.399465657321265,1824.5001796108156,-10.078587115351544,-10.078587115351544,-3.9899547147001995,-3.9899547147001826,0.0,-1.595519390588059,,7.160227248954657,0,5,0,5
ew_heavy,qubo_receding,5,5762.203687666812,705.4448657358628,5762.738044866298,5762.738044866298,811511.0929581277,9.392489501830182,40.0,99.27216899174482,0.0,140.83410281265327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,-10.399465657321265,1824.5001796108156,-10.078587115351544,-10.078587115351544,-3.9899547147001995,-3.9899547147001826,0.0,-1.595519390588059,,7.160227248954657,0,5,0,5
time_varying,fixed,5,6581.017277955344,249.05167776331865,6613.988145745384,6613.988145745384,680685.4316759177,7.878303607360159,40.0,99.27216899174482,0.0,103.42915166452804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_varying,adaptive,5,6821.673453086056,8.395502632606574,6844.2733514472875,6844.2733514472875,679043.4022483962,7.859298637134215,40.0,93.24869401303832,0.0,99.54066691048483,3.656823329378664,-96.62901181473467,3.4817904209586525,3.4817904209586525,-0.2412317571537659,-0.24123175715378212,0.0,-6.067637123157244,,-3.75956361573523,5,0,5,0,,,,,,,,,,,,,,
time_varying,qubo_static,5,6581.017277955344,249.05167776331865,6613.988145745384,6613.988145745384,680685.4316759177,7.878303607360159,40.0,99.27216899174482,0.0,103.42915166452804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,-3.5278172839223396,2866.4891866753537,-3.364640683926038,-3.364640683926038,0.2418150919491378,0.2418150919491541,0.0,6.459581061654634,,3.9064282717133603,0,5,0,5
time_varying,qubo_receding,5,6581.017277955344,249.05167776331865,6613.988145745384,6613.988145745384,680685.4316759177,7.878303607360159,40.0,99.27216899174482,0.0,103.42915166452804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,-3.5278172839223396,2866.4891866753537,-3.364640683926038,-3.364640683926038,0.2418150919491378,0.2418150919491541,0.0,6.459581061654634,,3.9064282717133603,0,5,0,5
downstream_congested,fixed,5,5803.529898107545,670.369847356063,5667.586946320049,5667.586946320049,1097099.775322637,12.697914066234226,40.0,183.06277166695733,0.0,189.03994007539376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
downstream_congested,adaptive,5,6397.941603585792,75.95814187781636,6324.51807419197,6324.51807419197,848664.0875552644,9.822501013371113,40.0,96.05951896220978,0.0,132.65163999742714,10.242244218851654,-88.66921861456105,11.591019848375954,11.591019848375954,-22.644766989794732,-22.644766989794757,0.0,-47.52645877285794,,-29.828775895441765,5,0,5,0,,,,,,,,,,,,,,
downstream_congested,qubo_static,5,5903.529898107545,570.369847356063,5751.586946320049,5751.586946320049,1065149.512985934,12.328119363263125,40.0,199.06277166695733,904.0960158599555,180.4258893966022,1.7230892535353128,-14.91713870998222,1.4821122427515825,1.4821122427515825,-2.912247641952805,-2.9122476419528116,0.0,8.740171392744179,,-4.556735828077422,5,0,5,0,-7.7276683050865795,650.9002106364585,-9.058889881425786,-9.058889881425786,25.50896504343626,25.508965043436287,0.0,107.22857434386015,,36.01482002039453,0,5,0,5
downstream_congested,qubo_receding,5,6409.744752181663,64.1549932819448,6378.14086382831,6378.14086382831,707133.8006537175,8.184418989047657,40.0,56.12655235645401,0.0,110.31930649213618,10.44562300388591,-90.4299106627525,12.537150717548714,12.537150717548714,-35.54516949511157,-35.545169495111566,0.0,-69.34026954504763,,-41.64232889190605,5,0,5,0,0.1844835312228496,-15.53901702184566,0.8478557418494013,0.8478557418494013,-16.676832327057852,-16.676832327057824,0.0,-41.571066602431735,,-16.835324090771973,5,0,5,0
