scenario,base_controller,seed,mode,completed,entry_cycle,completion_cycle,emergency_travel_time_s,free_flow_time_s,emergency_delay_s,signal_stops,priority_intersections,wait_I1_s,wait_I2_s,wait_I3_s,wait_I6_s,pre_total_waiting_time,pre_waiting_per_admitted,pre_average_queue_length,pre_max_queue_length,pre_throughput_per_hour,pre_vehicles_entered,pre_vehicles_rejected,pre_vehicles_exited,pre_total_blocked,pre_final_queue_total,during_total_waiting_time,during_waiting_per_admitted,during_average_queue_length,during_max_queue_length,during_throughput_per_hour,during_vehicles_entered,during_vehicles_rejected,during_vehicles_exited,during_total_blocked,during_final_queue_total,post_total_waiting_time,post_waiting_per_admitted,post_average_queue_length,post_max_queue_length,post_throughput_per_hour,post_vehicles_entered,post_vehicles_rejected,post_vehicles_exited,post_total_blocked,post_final_queue_total,total_total_waiting_time,total_waiting_per_admitted,total_average_queue_length,total_max_queue_length,total_throughput_per_hour,total_vehicles_entered,total_vehicles_rejected,total_vehicles_exited,total_total_blocked,total_final_queue_total
balanced_medium,qubo_exact_static,4,A_no_override,True,40,43,207.87625853388727,90.0,117.87625853388727,4,0,56.03368212188889,30.0,30.0,1.8425764119983796,86334.19932274708,71.68369279527758,5.995430508524103,14.919017347597345,7145.151482655356,1204.3771178099053,0.0,1190.8585804425593,0.0,0.0,36058.87749050023,71.9006927299423,6.260221786545179,14.997154842146532,7557.529493522431,501.5094586909853,0.0,503.83529956816204,0.0,0.0,401359.57707374403,72.00980332209076,6.059172359205073,14.994636134432824,7283.510094682445,5573.679673564908,0.0,5584.024405923208,0.0,0.0,523752.6538869913,71.9483326197158,6.061952012580918,14.997154842146532,7278.718285933929,7279.566250065799,0.0,7278.718285933929,0.0,0.0
balanced_medium,qubo_exact_static,4,B_corridor,True,40,42,142.0,90.0,52.0,3,4,26.033682121888887,5.966317878111113,0.0,20.0,86334.19932274708,71.68369279527758,5.995430508524103,14.919017347597345,7145.151482655356,1204.3771178099053,0.0,1190.8585804425593,0.0,0.0,38182.207832448126,76.13457168307333,6.628855526466689,21.000854503037978,7395.682498160181,501.5094586909853,0.0,493.04549987734543,0.0,5.739803419119951,401774.0284375663,72.08416198424854,6.065429173272438,15.065231060020789,7297.583746453076,5573.679673564908,0.0,5594.814205614025,0.0,0.0,526290.4355927615,72.29694977884218,6.091324486027332,21.000854503037978,7278.718285933929,7279.566250065799,0.0,7278.718285933929,0.0,0.0
balanced_medium,qaoa_p1_static,0,A_no_override,True,40,43,207.65847191660305,90.0,117.65847191660305,3,0,47.65847191660305,40.0,30.0,0.0,98308.9797186628,80.42633991474149,6.827012480462694,29.390863923127135,7087.061521845333,1222.348049443483,0.0,1181.1769203075555,0.0,37.15151972981017,46333.5552395156,94.01600852850248,8.044020006860347,38.370940067306265,7154.614904937521,492.82623209289756,0.0,476.9743269958347,1.2023341259973588,57.539088520152205,612881.0214697683,114.16478059634794,9.252430879676453,40.0,6950.070541316873,5368.389605518796,121.72601483712671,5328.387415009603,229.19482146478518,90.0,757523.5564279467,106.94102128623126,8.767633754953087,40.0,6986.538662312993,7083.563887055177,121.72601483712671,6986.538662312993,230.39715559078255,90.0
balanced_medium,qaoa_p1_static,0,B_corridor,True,40,42,142.0,90.0,52.0,3,4,27.658471916603048,4.341528083396952,0.0,20.0,98308.9797186628,80.42633991474149,6.827012480462694,29.390863923127135,7087.061521845333,1222.348049443483,0.0,1181.1769203075555,0.0,37.15151972981017,47185.98990766115,95.74569459761753,8.192012136746728,38.370940067306265,7118.843583321102,492.82623209289756,0.0,474.5895722214068,1.2023341259973588,57.539088520152205,613031.7145905765,114.19285104798828,9.254705836210393,40.0,6953.181091022649,5368.389605518796,121.72601483712671,5330.772169784031,229.19482146478518,90.0,758526.6842169005,107.08263471768305,8.7792440302882,40.0,6986.538662312993,7083.563887055177,121.72601483712671,6986.538662312993,230.39715559078255,90.0
balanced_medium,qaoa_p1_static,1,A_no_override,True,40,43,207.61027321397296,90.0,117.61027321397296,3,0,57.61027321397296,30.0,30.0,0.0,86323.15322452641,72.16652487142439,5.99466341836989,14.908214517748865,7227.14697771224,1196.1661362844366,0.0,1204.5244962853733,0.0,0.0,34105.037632354135,72.14558186665205,5.921013477839259,14.872178256277362,7150.464281769324,472.72524179500107,0.0,476.69761878462157,0.0,0.0,393196.3520648931,71.76323345767337,5.93593526668015,14.988512358785085,7136.6136046334805,5479.077977956555,0.0,5471.4037635523355,0.0,0.0,513624.5429217737,71.85600795672849,5.944728506039048,14.988512358785085,7152.62587862233,7147.969356035993,0.0,7152.62587862233,0.0,0.0
balanced_medium,qaoa_p1_static,1,B_corridor,True,40,42,142.0,90.0,52.0,3,4,27.61027321397296,4.38972678602704,0.0,20.0,86323.15322452641,72.16652487142439,5.99466341836989,14.908214517748865,7227.14697771224,1196.1661362844366,0.0,1204.5244962853733,0.0,0.0,35610.267163069126,75.32973493831675,6.1823380491439455,20.496078049119966,7084.22096442923,472.72524179500107,0.0,472.2813976286153,0.0,3.6827748204528064,393347.3265809072,71.79078818798045,5.938214471330121,14.988512358785085,7142.373893097836,5479.077977956555,0.0,5475.8199847083415,0.0,0.0,515280.74696850276,72.08771069134227,5.963897534357671,20.496078049119966,7152.62587862233,7147.969356035993,0.0,7152.62587862233,0.0,0.0
balanced_medium,qaoa_p1_static,2,A_no_override,True,40,43,209.14334248736486,90.0,119.14334248736486,3,0,59.14334248736486,30.0,30.0,0.0,95039.20885687499,78.4950136618501,6.599945059505208,30.206997775157465,7011.3672649437085,1210.7674669157443,0.0,1168.5612108239513,0.0,37.52109176590642,46224.967473726254,93.62782687668818,8.025167964188586,38.71132376029472,6991.101721977208,493.70971233377554,0.0,466.0734481318139,0.0,57.39040305051546,606355.0476038003,114.46332340873694,9.153910742810995,40.0,6890.813653288474,5297.3741242735705,138.15127750461423,5282.95713418783,204.81036174634522,89.63886139284452,747619.2239344015,106.77450741609228,8.653000277018537,40.0,6917.591793143595,7001.85130352309,138.15127750461423,6917.591793143595,204.81036174634522,89.63886139284452
balanced_medium,qaoa_p1_static,2,B_corridor,True,40,42,140.825319354572,90.0,50.825319354572,3,4,29.143342487364862,2.856657512635138,0.0,18.825319354572002,95039.20885687499,78.4950136618501,6.599945059505208,30.206997775157465,7011.3672649437085,1210.7674669157443,0.0,1168.5612108239513,0.0,37.52109176590642,46909.54552475529,95.01442720867885,8.144018320270016,38.71132376029472,6979.446216208122,493.70971233377554,0.0,465.2964144138748,0.0,58.105595505598494,606465.6781648298,114.48420744645718,9.155580890169533,40.0,6891.8271755292635,5297.3741242735705,138.15127750461423,5283.734167905769,204.81036174634522,89.63886139284452,748414.4325464602,106.88807860999331,8.662204080398844,40.0,6917.591793143594,7001.85130352309,138.15127750461423,6917.591793143594,204.81036174634522,89.63886139284452
balanced_medium,qaoa_p1_static,3,A_no_override,True,40,46,377.81632501280455,90.0,287.81632501280455,4,0,51.580846621118326,30.0,30.0,176.23547839168623,96072.82975433748,80.61668804040411,6.671724288495659,34.40655728285459,6849.559268260834,1191.7238488659684,0.0,1141.5932113768056,0.0,41.46783200899755,80924.17795847592,98.52725296330753,8.02819225778531,40.0,6904.571009905165,821.3380108000457,0.0,805.5332844889359,17.880036393918935,65.7179662006354,591813.3918956621,117.77566023859185,9.557709817436402,40.0,6983.833848990864,5024.921029495881,162.3247337804651,5005.080925110119,215.0,87.49304750001352,768810.3996084755,109.2373215047739,8.898268513986984,40.0,6952.207420975861,7037.982889161895,162.3247337804651,6952.207420975861,232.88003639391894,87.49304750001352
balanced_medium,qaoa_p1_static,3,B_corridor,True,40,43,215.6458152228529,90.0,125.64581522285289,3,4,21.580846621118326,10.419153378881674,0.0,93.64581522285289,96072.82975433748,80.61668804040411,6.671724288495659,34.40655728285459,6849.559268260834,1191.7238488659684,0.0,1141.5932113768056,0.0,41.46783200899755,75067.59184753249,91.39670983254622,7.447181730906001,38.29335636878784,7225.51090373094,821.3380108000457,0.0,842.9762721019431,0.0,23.047594843297695,571185.1950674467,112.77277409482089,9.224567103802434,40.0,6987.401773251784,5064.921029495881,122.32473378046512,5007.637937497112,201.37900128709802,87.49304750001352,742325.6166693167,104.87813100057035,8.591731674413387,40.0,6992.207420975861,7077.982889161895,122.32473378046512,6992.207420975861,201.37900128709802,87.49304750001352
