scenario,seed,candidate,vehicles_entered_fixed,vehicles_entered_candidate,vehicles_entered_pct,vehicles_entered_verdict,vehicles_rejected_fixed,vehicles_rejected_candidate,vehicles_rejected_pct,vehicles_rejected_verdict,vehicles_exited_fixed,vehicles_exited_candidate,vehicles_exited_pct,vehicles_exited_verdict,throughput_per_hour_fixed,throughput_per_hour_candidate,throughput_per_hour_pct,throughput_per_hour_verdict,total_waiting_time_fixed,total_waiting_time_candidate,total_waiting_time_pct,total_waiting_time_verdict,average_queue_length_fixed,average_queue_length_candidate,average_queue_length_pct,average_queue_length_verdict,max_queue_length_fixed,max_queue_length_candidate,max_queue_length_pct,max_queue_length_verdict,final_queue_total_fixed,final_queue_total_candidate,final_queue_total_pct,final_queue_total_verdict,total_blocked_fixed,total_blocked_candidate,total_blocked_pct,total_blocked_verdict
high,4,adaptive,18216.365098539554,18189.467453958983,-0.1476564859952632,worse,1063.694723616986,1090.5923681975564,2.528699633773464,worse,17771.602340639773,17716.39639257035,-0.31064136486544325,worse,8885.801170319886,8858.198196285175,-0.31064136486544325,worse,2819886.5171648944,3080941.6426054714,9.257646499301012,worse,16.31878771507462,17.82952339470759,9.25764649930101,worse,40.0,40.0,0.0,same,234.7627578997819,263.07106138863503,12.058259896971265,worse,0.0,0.0,,same
high,4,adaptive_dwell2,18216.365098539554,18177.165579585162,-0.21518847883398523,worse,1063.694723616986,1102.8942425713778,3.68522265684442,worse,17771.602340639773,17656.008717643614,-0.6504400716407073,worse,8885.801170319886,8828.004358821807,-0.6504400716407073,worse,2819886.5171648944,3419173.6286108852,21.25217124157579,worse,16.31878771507462,19.786884424831513,21.252171241575795,worse,40.0,40.0,0.0,same,234.7627578997819,311.1568619415474,32.540980828985425,worse,0.0,0.0,,same
ns_heavy,0,adaptive,13830.291266103697,15851.266037336289,14.612669627470149,better,2036.2299410812686,15.255169848677298,-99.25081300785821,better,13541.394968299906,15610.943486984193,15.283126469090167,better,6770.697484149953,7805.471743492097,15.283126469090167,better,1940289.960746093,1503702.6702376865,-22.501136394094782,better,11.22852986542878,8.701983045356982,-22.501136394094782,better,40.0,40.0,0.0,same,149.6277502818025,81.05400283010754,-45.82956525279977,better,0.0,0.0,,same
ns_heavy,0,adaptive_dwell2,13830.291266103697,15708.01479305965,13.576890687458024,better,2036.2299410812686,158.50641412531456,-92.21569180732384,better,13541.394968299906,15423.622769300606,13.899807260676994,better,6770.697484149953,7711.811384650303,13.899807260676994,better,1940289.960746093,1768231.039885115,-8.867691135958701,better,11.22852986542878,10.232818517853675,-8.867691135958713,better,40.0,40.0,0.0,same,149.6277502818025,125.12347623705794,-16.37682448516017,better,0.0,0.0,,same
ns_heavy,1,adaptive,13774.92940188359,15801.122559830494,14.709281614683567,better,2036.5128552851868,10.319697338282339,-99.49326628056873,better,13491.37880068798,15585.84917367834,15.524509421405869,better,6745.68940034399,7792.92458683917,15.524509421405869,better,1936146.8837592443,1502792.363021285,-22.3823163610683,better,11.20455372545859,8.696715063780585,-22.382316361068288,better,40.0,40.0,0.0,same,149.552427342211,57.652451298455325,-61.45000631348295,better,0.0,0.0,,same
ns_heavy,1,adaptive_dwell2,13774.92940188359,15663.4109930221,13.70955549783274,better,2036.5128552851868,148.03126414667685,-92.73114020554772,better,13491.37880068798,15384.986004551341,14.035683319237899,better,6745.68940034399,7692.493002275671,14.035683319237899,better,1936146.8837592443,1796607.7905269985,-7.207050994050371,better,11.20455372545859,10.397035824809018,-7.207050994050375,better,40.0,40.0,0.0,same,149.552427342211,129.42681461736058,-13.45722906843785,better,0.0,0.0,,same
ns_heavy,2,adaptive,13816.580778427515,15746.325274985626,13.966874493080898,better,1935.9931620666123,6.248665508501318,-99.67723721183854,better,13527.857908631893,15526.186479164206,14.771951213778001,better,6763.928954315947,7763.093239582103,14.771951213778001,better,1937137.5666309663,1444815.8383722056,-25.41490788984065,better,11.210286843929202,8.361202768357671,-25.41490788984065,better,40.0,40.0,0.0,same,148.68712785239245,60.10305387819213,-59.57750025418556,better,0.0,0.0,,same
ns_heavy,2,adaptive_dwell2,13816.580778427515,15572.764395875662,12.710696268574347,better,1935.9931620666123,179.8095446184658,-90.71228410607995,better,13527.857908631893,15305.712113620793,13.14217089650596,better,6763.928954315947,7652.856056810397,13.14217089650596,better,1937137.5666309663,1812337.0777981796,-6.442520705942292,better,11.210286843929202,10.48806179281354,-6.442520705942285,better,40.0,40.0,0.0,same,148.68712785239245,117.0165403116388,-21.300154221954088,better,0.0,0.0,,same
ns_heavy,3,adaptive,13827.495140577015,15778.389948646247,14.108808487983469,better,1964.3885120779557,13.493704008723427,-99.31308374459746,better,13538.807997452584,15555.346980279173,14.894509052835478,better,6769.403998726292,7777.673490139587,14.894509052835478,better,1932932.320848272,1493158.99498144,-22.751615311281896,better,11.185950930834908,8.640966406142592,-22.751615311281906,better,40.0,40.0,0.0,same,150.0,74.35582524264287,-50.42944983823809,better,0.0,0.0,,same
ns_heavy,3,adaptive_dwell2,13827.495140577015,15665.86440773547,13.295027396276051,better,1964.3885120779557,126.01924491950096,-93.58481053291254,better,13538.807997452584,15412.000026803264,13.835723423385076,better,6769.403998726292,7706.000013401632,13.835723423385076,better,1932932.320848272,1824011.194233491,-5.635020193929012,better,11.185950930834908,10.55562033699937,-5.635020193929017,better,40.0,40.0,0.0,same,150.0,95.17723780777587,-36.54850812814942,better,0.0,0.0,,same
ns_heavy,4,adaptive,13837.345984184163,15909.588006394808,14.975718787252845,better,2078.0293473736156,5.787325162970859,-99.72149935368886,better,13549.508770029035,15695.053755816125,15.834854401016726,better,6774.7543850145175,7847.5268779080625,15.834854401016726,better,1942208.6356291953,1488157.6828383324,-23.378073007268302,better,11.239633308039325,8.612023627536646,-23.37807300726831,better,40.0,40.0,0.0,same,150.0,68.05686468876578,-54.628756874156146,better,0.0,0.0,,same
ns_heavy,4,adaptive_dwell2,13837.345984184163,15780.68514933516,14.044161122893067,better,2078.0293473736156,134.69018222261894,-93.51836958448871,better,13549.508770029035,15473.866569282567,14.202417459665648,better,6774.7543850145175,7736.9332846412835,14.202417459665648,better,1942208.6356291953,1733951.602847785,-10.722691113663162,better,11.239633308039325,10.034442146109868,-10.722691113663162,better,40.0,40.0,0.0,same,150.0,158.9813658974648,5.987577264976532,worse,0.0,0.0,,same
ew_heavy,0,adaptive,11625.120853146405,12929.219468164834,11.217935980987821,better,1348.5055601991646,44.40694518073644,-96.706951273217,better,11368.138487512024,12645.778294458894,11.238777644645747,better,5684.069243756012,6322.889147229447,11.238777644645747,better,1593399.2238101743,1620933.2515202416,1.7280055932390452,worse,9.221060322975546,9.38040076111251,1.728005593239041,worse,40.0,40.0,0.0,same,98.22995340048337,99.68876147204097,1.4850949441155084,worse,0.0,0.0,,same
ew_heavy,0,adaptive_dwell2,11625.120853146405,12241.580701577404,5.302825288600339,better,1348.5055601991646,732.0457117681657,-45.71429785873128,better,11368.138487512024,11921.404885463035,4.866816133167076,better,5684.069243756012,5960.702442731517,4.866816133167076,better,1593399.2238101743,2016344.2406080274,26.54356864731595,worse,9.221060322975546,11.668658799814974,26.543568647315947,worse,40.0,40.0,0.0,same,98.22995340048337,161.42340388047072,64.33215968488527,worse,0.0,37.464923455267,,worse
ew_heavy,1,adaptive,11625.421114973908,12772.473657066615,9.86676121878517,better,1183.2769867695904,36.22444467688281,-96.9386335505622,better,11370.73186876037,12501.510784378574,9.944644976853906,better,5685.365934380185,6250.755392189287,9.944644976853906,better,1585755.3196087962,1613519.5288888603,1.7508507735552477,worse,9.176824766254608,9.337497273662386,1.7508507735552432,worse,40.0,40.0,0.0,same,97.92553280405569,99.19915927856044,1.3006071430351243,worse,0.0,0.0,,same
ew_heavy,1,adaptive_dwell2,11625.421114973908,11701.264898067258,0.6523960065038987,better,1183.2769867695904,1107.4332036762387,-6.409638989127077,better,11370.73186876037,11372.04241048984,0.011525570601753488,better,5685.365934380185,5686.02120524492,0.011525570601753488,better,1585755.3196087962,2036885.3670681329,28.44890645365326,worse,9.176824766254608,11.787531059422065,28.44890645365325,worse,40.0,40.0,0.0,same,97.92553280405569,172.45877416793815,76.11216322204741,worse,0.0,11.401180649735984,,worse
ew_heavy,2,adaptive,11593.00103970517,12823.78842346904,10.61664170949794,better,1310.553688616853,79.76630485298277,-93.91354161635549,better,11339.97238275432,12557.30446526705,10.73487695934809,better,5669.98619137716,6278.652232633525,10.73487695934809,better,1594290.397471707,1638599.5175713776,2.7792377204264516,worse,9.226217577961268,9.482636097056583,2.779237720426441,worse,40.0,40.0,0.0,same,99.40290958090864,87.85821083204905,-11.614045099417156,better,0.0,0.0,,same
ew_heavy,2,adaptive_dwell2,11593.00103970517,12106.012998604274,4.42518686181495,better,1310.553688616853,797.5417297177486,-39.14467322895659,better,11339.97238275432,11779.97238275432,3.8800799962189165,better,5669.98619137716,5889.98619137716,3.8800799962189165,better,1594290.397471707,2043299.001467556,28.163539384537827,worse,9.226217577961268,11.824646999233542,28.163539384537824,worse,40.0,40.0,0.0,same,99.40290958090864,162.41486848001298,63.390457245938045,worse,0.0,75.0,,worse
ew_heavy,3,adaptive,11602.60396751867,12909.569025949986,11.264411524259103,better,1337.8566750618554,30.891616630537385,-97.69096217805924,better,11345.626879225438,12621.201682690753,11.242876370286542,better,5672.813439612719,6310.6008413453765,11.242876370286542,better,1584818.9432344919,1662086.41275426,4.875476145058643,worse,9.171405921495902,9.61855562936493,4.875476145058646,worse,40.0,40.0,0.0,same,100.0,101.39025496600149,1.3902549660014927,worse,0.0,0.0,,same
ew_heavy,3,adaptive_dwell2,11602.60396751867,11810.159091258593,1.788866743370461,better,1337.8566750618554,1130.3015513219311,-15.514002927879252,better,11345.626879225438,11479.994187363098,1.1843092459147861,better,5672.813439612719,5739.997093681549,1.1843092459147861,better,1584818.9432344919,1995257.2031713924,25.898116733715216,worse,9.171405921495902,11.54662733316778,25.89811673371522,worse,40.0,40.0,0.0,same,100.0,173.18781560226387,73.18781560226387,worse,0.0,16.315547700108795,,worse
ew_heavy,4,adaptive,11639.998806349327,12958.536092093243,11.327641073508419,better,1364.7155953277033,46.17830958378596,-96.61626863927665,better,11384.395415169884,12695.43044287325,11.516070725691698,better,5692.197707584942,6347.715221436625,11.516070725691698,better,1592383.4314635145,1622796.8640572485,1.9099314896652675,worse,9.215181895043486,9.391185555886855,1.909931489665278,worse,40.0,40.0,0.0,same,99.04204464624566,96.54430268679623,-2.5219006416626,better,0.0,0.0,,same
ew_heavy,4,adaptive_dwell2,11639.998806349327,11969.862812575784,2.83388350561105,better,1364.7155953277033,1034.851589101246,-24.170897391060336,better,11384.395415169884,11659.395415169884,2.4155872136482386,better,5692.197707584942,5829.697707584942,2.4155872136482386,better,1592383.4314635145,2082342.0691032573,30.768885681599674,worse,9.215181895043486,12.050590677680887,30.768885681599684,worse,40.0,40.0,0.0,same,99.04204464624566,148.90605087270325,50.346301315325036,worse,0.0,115.0,,worse
time_varying,0,adaptive,13768.050254767695,14416.947567002459,4.713066122126179,better,655.406199989994,6.508887755229765,-99.00689255680993,better,13592.008335255921,14228.338724858782,4.681650966563211,better,6796.004167627961,7114.169362429391,4.681650966563211,better,1437987.9904897744,1342446.229688793,-6.644127867051254,better,8.321689759778787,7.768786051439774,-6.644127867051254,better,40.0,40.0,0.0,same,0.0,13.309745282763112,,worse,0.0,0.0,,same
time_varying,0,adaptive_dwell2,13768.050254767695,14267.845300903675,3.6301076542258204,better,655.406199989994,155.61115385401416,-76.25729603162286,better,13592.008335255921,14037.550629524876,3.2779724914770347,better,6796.004167627961,7018.775314762438,3.2779724914770347,better,1437987.9904897744,1566239.6253818416,8.91882517380309,worse,8.321689759778787,9.063886720959731,8.918825173803093,worse,40.0,40.0,0.0,same,0.0,51.522741544917515,,worse,0.0,0.0,,same
