scenario,seed,controller,cycles,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate
low,3,adaptive,120,9577.44809841183,0.0,9463.229123188281,4731.6145615941405,685437.0409325177,3.9666495424335517,9.998246068107475,0.0,0.0,9577.44809841183,22847.901364417256,114.21897522355029,0.034722222222222224,0.9319444444444445,0.03333333333333333,92,0.12885154061624648
low,3,adaptive_dwell2,120,9577.44809841183,0.0,9463.229123188281,4731.6145615941405,685437.0409325177,3.9666495424335517,9.998246068107475,0.0,0.0,9577.44809841183,22847.901364417256,114.21897522355029,0.058333333333333334,0.8972222222222223,0.044444444444444446,69,0.09663865546218488
low,4,fixed,120,9640.02991107827,0.0,9527.498496827167,4763.749248413584,689567.3496595629,3.9905517920113596,9.998103228097689,0.0,0.0,9640.02991107827,22985.57832198543,112.53141425110252,0.0,1.0,0.0,0,0.0
low,4,adaptive,120,9640.02991107827,0.0,9527.498496827167,4763.749248413584,689567.3496595629,3.9905517920113596,9.998103228097689,0.0,0.0,9640.02991107827,22985.57832198543,112.53141425110252,0.022222222222222223,0.9472222222222222,0.030555555555555555,72,0.10084033613445378
low,4,adaptive_dwell2,120,9640.02991107827,0.0,9527.498496827167,4763.749248413584,689567.3496595629,3.9905517920113596,9.998103228097689,0.0,0.0,9640.02991107827,22985.57832198543,112.53141425110252,0.03333333333333333,0.9263888888888889,0.04027777777777778,51,0.07142857142857142
medium,0,fixed,120,14420.073810265269,0.0,14244.031890753495,7122.015945376747,1031376.5013488167,5.968614012435282,14.999315545779499,0.0,0.0,14420.073810265269,34379.216711627225,176.04191951177378,0.0,1.0,0.0,0,0.0
medium,0,adaptive,120,14420.073810265269,0.0,14232.196654750798,7116.098327375399,1097764.9493539368,6.352806419872319,20.03814266404643,13.896245508852036,0.0,14420.073810265269,34346.57908461688,173.98091000561834,0.4083333333333333,0.18472222222222223,0.40694444444444444,627,0.8781512605042017
medium,0,adaptive_dwell2,120,14420.073810265269,0.0,14180.288216703619,7090.144108351809,1310730.8300940671,7.585247859340666,25.98482734537526,80.66592693443397,0.0,14420.073810265269,34268.25440672874,159.1196666272147,0.48333333333333334,0.025,0.49166666666666664,352,0.49299719887955185
medium,1,fixed,120,14310.070179456137,0.0,14148.546404930377,7074.273202465189,1022052.1542534796,5.914653670448377,14.988512358785085,0.0,0.0,14310.070179456137,34068.405141782656,161.52377452576022,0.0,1.0,0.0,0,0.0
medium,1,adaptive,120,14310.070179456137,0.0,14137.500056076222,7068.750028038111,1089890.9205407759,6.30723912349986,19.859195273010943,8.252128781301124,0.0,14310.070179456137,34048.96933115275,164.31799459861463,0.3625,0.2722222222222222,0.36527777777777776,588,0.8235294117647058
medium,1,adaptive_dwell2,120,14310.070179456137,0.0,14116.395888968595,7058.197944484297,1245861.3275590343,7.209845645596263,27.18429008977263,29.14374824640327,0.0,14310.070179456137,34014.60859173856,164.5305422411402,0.425,0.14027777777777778,0.43472222222222223,338,0.4733893557422969
medium,2,fixed,120,14328.064334408075,0.0,14160.741355781736,7080.370677890868,1025374.3198366584,5.933879165721403,14.99659952238423,0.0,0.0,14328.064334408075,34179.143994555285,167.32297862633868,0.0,1.0,0.0,0,0.0
medium,2,adaptive,120,14328.064334408075,0.0,14149.720024924056,7074.860012462028,1092479.6696623892,6.322220310546234,19.72219741050985,4.801332752240908,0.0,14328.064334408075,34158.538392326314,173.54297673177712,0.3541666666666667,0.2875,0.35833333333333334,570,0.7983193277310925
medium,2,adaptive_dwell2,120,14328.064334408075,0.0,14125.456555428089,7062.728277714044,1276309.1506854563,7.38604832572602,27.735394018242506,18.731918678891493,0.0,14328.064334408075,34115.78067860479,183.87586030109426,0.4652777777777778,0.07222222222222222,0.4625,345,0.4831932773109244
medium,3,fixed,120,14366.172147617748,0.0,14194.843684782421,7097.421842391211,1028155.5613987766,5.949974313650327,14.997369102161212,0.0,0.0,14366.172147617748,34271.852046625885,171.32846283532544,0.0,1.0,0.0,0,0.0
medium,3,adaptive,120,14366.172147617748,0.0,14185.195592229375,7092.597796114687,1094247.012998864,6.332447991891574,19.80899349847025,7.7461021869925855,0.0,14366.172147617748,34251.46242776415,173.23045320138047,0.4083333333333333,0.1875,0.4041666666666667,630,0.8823529411764706
medium,3,adaptive_dwell2,120,14366.172147617748,0.0,14164.29956978898,7082.14978489449,1284751.002902654,7.434901637168137,27.920026274455836,16.122573650504002,0.0,14366.172147617748,34222.48925762406,185.75000417826308,0.44583333333333336,0.09305555555555556,0.46111111111111114,344,0.48179271708683474
medium,4,fixed,120,14460.044866617405,0.0,14291.247745240751,7145.623872620376,1034351.0244893443,5.985827688017039,14.997154842146532,0.0,0.0,14460.044866617405,34478.367482978145,168.79712137665376,0.0,1.0,0.0,0,0.0
medium,4,adaptive,120,14460.044866617405,0.0,14281.250176099693,7140.625088049846,1109830.4502892327,6.4226299206552815,19.510061842532007,6.731827192627545,0.0,14460.044866617405,34458.87936862119,172.06286332508412,0.43333333333333335,0.1111111111111111,0.45555555555555555,679,0.9509803921568627
medium,4,adaptive_dwell2,120,14460.044866617405,0.0,14273.231701214909,7136.615850607454,1257733.310895643,7.278549252868304,26.89265717959154,30.109706087436855,0.0,14460.044866617405,34431.879588957345,156.7034593150598,0.42777777777777776,0.1375,0.43472222222222223,336,0.47058823529411764
high,0,fixed,120,18226.967629376893,999.7974509767978,17776.28229187375,8888.141145936876,2794628.7338939304,16.172619987812098,40.0,240.6853375031427,0.0,19226.76508035369,42894.23165042066,210.0,0.0,1.0,0.0,0,0.0
high,0,adaptive,120,18209.681413160044,1017.0836671936445,17727.059196696307,8863.529598348154,3050678.8167474545,17.654391300621842,40.0,272.6222164637373,0.0,19226.76508035369,42808.91518989882,210.0,0.4847222222222222,0.020833333333333332,0.49444444444444446,707,0.9901960784313726
high,0,adaptive_dwell2,120,18184.71859267541,1042.0464876782812,17658.376251674657,8829.188125837329,3319759.859655064,19.21157326189273,40.0,316.34234100075236,0.0,19226.76508035369,42698.88472443354,210.0,0.4736111111111111,0.041666666666666664,0.4847222222222222,348,0.48739495798319327
high,1,fixed,120,18210.36410202482,869.7294705833597,17770.32189614605,8885.160948073026,2787723.0181773705,16.132656355193117,40.0,230.04220587877282,0.0,19080.093572608184,42878.74067235742,210.0,0.0,1.0,0.0,0,0.0
high,1,adaptive,120,18187.81295686687,892.2806157413139,17716.651939421037,8858.325969710519,3030420.709578994,17.537156884137698,40.0,261.16101744583005,0.0,19080.093572608184,42791.52334478,210.0,0.4875,0.019444444444444445,0.4930555555555556,712,0.9971988795518207
high,1,adaptive_dwell2,120,18189.455866394754,890.6377062134292,17659.148575135416,8829.574287567708,3399390.562043554,19.6723990859002,40.0,320.307291259338,0.0,19080.093572608184,42733.36361080859,210.0,0.475,0.043055555555555555,0.48194444444444445,346,0.484593837535014
high,2,fixed,120,18215.948877520175,888.1369016905896,17774.499536522686,8887.249768261343,2790471.4373184256,16.148561558555702,40.0,231.44934099749173,0.0,19104.085779210767,42892.8793670771,210.0,0.0,1.0,0.0,0,0.0
high,2,adaptive,120,18184.74044281438,919.345336396389,17710.890059989048,8855.445029994524,3012725.5029581217,17.434754068044686,40.0,263.85038282533094,0.0,19104.085779210767,42802.378285297345,210.0,0.4888888888888889,0.025,0.4861111111111111,707,0.9901960784313726
high,2,adaptive_dwell2,120,18198.465366514934,905.6204126958306,17663.72167381654,8831.86083690827,3367632.497878876,19.48861399235461,40.0,324.74369269839605,0.0,19104.085779210767,42758.16848616802,210.0,0.4736111111111111,0.05,0.47638888888888886,344,0.48179271708683474
high,3,fixed,120,18205.00334644835,949.8928503753137,17758.26485250264,8879.13242625132,2808656.5982814184,16.253799758573024,40.0,236.7384939457076,0.0,19154.89619682366,42852.964172769854,210.0,0.0,1.0,0.0,0,0.0
high,3,adaptive,120,18178.465439637188,976.4307571864761,17716.692623293882,8858.346311646941,2972757.2141286256,17.203456100281397,40.0,251.77281634330546,0.0,19154.89619682366,42776.997317432615,210.0,0.4888888888888889,0.015277777777777777,0.49583333333333335,712,0.9971988795518207
high,3,adaptive_dwell2,120,18153.67445896365,1001.2217378600135,17644.290925315625,8822.145462657812,3308269.046602414,19.145075501171377,40.0,309.3835336480236,0.0,19154.89619682366,42655.335860564606,200.0,0.4722222222222222,0.04861111111111111,0.4791666666666667,347,0.48599439775910364
high,4,fixed,120,18216.365098539554,1063.694723616986,17771.602340639773,8885.801170319886,2819886.5171648944,16.31878771507462,40.0,234.7627578997819,0.0,19280.05982215654,42881.40030632115,210.0,0.0,1.0,0.0,0,0.0
high,4,adaptive,120,18189.467453958983,1090.5923681975564,17716.39639257035,8858.198196285175,3080941.6426054714,17.82952339470759,40.0,263.07106138863503,0.0,19280.05982215654,42806.25949532819,210.0,0.49166666666666664,0.018055555555555554,0.49027777777777776,711,0.9957983193277311
