case,seed,controller,cycles,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate,waiting_per_admitted,qubo_energy,plans,plan_I1,plan_I2,plan_I3,plan_I4,plan_I5,plan_I6
ns_heavy,0,qaoa_p2,60,7591.105336593888,336.344919828631,7650.303107971058,7650.303107971058,805465.8298683963,9.322521179032364,40.0,77.40886475369243,275.0,7927.450256422519,16774.70030724386,153.33584387255303,0.0,0.16666666666666666,0.8333333333333334,0,0.0,106.10652785774766,15048.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS30/EW30/NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS30/EW30,NS40/EW20
ns_heavy,0,qaoa_p2_warm,60,7900.000735872146,27.449520550372895,8023.220541961742,8023.220541961742,582909.6536482377,6.746639509817566,40.0,5.494818822980374,0.0,7927.450256422519,17503.427186443514,161.2278550908393,0.0,0.0,1.0,0,0.0,73.78602523432367,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20
ew_heavy,0,fixed,60,5763.873456880934,719.2560904811526,5760.399684328968,5760.399684328968,811150.4937067322,9.388315899383475,40.0,100.0,0.0,6483.129547362087,15122.80233706715,156.5127318255372,0.0,1.0,0.0,0,0.0,140.73010099456255,,,,,,,,
ew_heavy,0,adaptive,60,6456.274570745225,26.854976616861478,6400.399684328968,6400.399684328968,858564.9044630086,9.937093801655193,40.0,132.4011138642911,0.0,6483.129547362087,17146.906661661335,176.5127318255372,0.6555555555555556,0.2722222222222222,0.07222222222222222,242,0.6836158192090396,132.98147330247565,,,,,,,,
ew_heavy,0,qubo_exact,60,6474.077173234231,9.05237412785587,6526.342652725781,6526.342652725781,561578.3941737375,6.499749932566406,40.0,8.67124070979029,0.0,6483.129547362087,17471.810256750978,192.10223907223042,1.0,0.0,0.0,0,0.0,86.74261661499347,12902.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40
ew_heavy,0,qaoa_p1,60,6160.730629720928,322.3989176411583,6137.0274477551075,6137.0274477551075,836332.0850910099,9.679769503368169,40.0,104.63990216716122,520.0,6483.129547362087,16348.864641838958,172.10223907223042,0.8333333333333334,0.16666666666666666,0.0,0,0.0,135.752094249395,13052.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS30/EW30,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS30/EW30
ew_heavy,0,qaoa_p2,60,6474.077173234231,9.05237412785587,6526.342652725781,6526.342652725781,561578.3941737375,6.499749932566406,40.0,8.67124070979029,0.0,6483.129547362087,17471.810256750978,192.10223907223042,1.0,0.0,0.0,0,0.0,86.74261661499347,12902.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40
ew_heavy,0,qaoa_p2_warm,60,6474.077173234231,9.05237412785587,6526.342652725781,6526.342652725781,561578.3941737375,6.499749932566406,40.0,8.67124070979029,0.0,6483.129547362087,17471.810256750978,192.10223907223042,1.0,0.0,0.0,0,0.0,86.74261661499347,12902.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40
time_varying,0,fixed,60,6593.670362728976,246.32295796631746,6627.100110906855,6627.100110906855,692184.1418764826,8.011390530977808,40.0,100.0,0.0,6839.993320695294,16482.610601428845,156.5127318255372,0.0,1.0,0.0,0,0.0,104.9770619091129,,,,,,,,
time_varying,0,adaptive,60,6835.2496015763445,4.74371911894896,6846.823559213288,6846.823559213288,675666.2003049868,7.820210651678088,40.0,111.85579054093489,0.0,6839.993320695294,17222.17088662945,166.5127318255372,0.44722222222222224,0.28055555555555556,0.2722222222222222,289,0.8163841807909604,98.85026000355053,,,,,,,,
time_varying,0,qubo_exact,60,5764.181876140371,1075.8114445549218,5817.61162431825,5817.61162431825,810684.3647596852,9.382920888422284,40.0,120.0,0.0,6839.993320695294,13994.145141663032,116.5127318255372,0.0,0.0,1.0,0,0.0,140.6417046129901,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20
