case,seed,n_assignments,pearson_energy_vs_waiting,spearman_energy_vs_waiting,pearson_energy_vs_avg_queue,spearman_energy_vs_avg_queue,spearman_energy_vs_neg_exited,qubo_choice_rank_by_waiting,qubo_choice_waiting,best_static_waiting,worst_static_waiting,best_static_plans,qubo_gap_to_best_static_pct,energy_rank_of_best_static,short_horizon_pearson,short_horizon_spearman,short_horizon_max_abs_rel_error
ew_heavy,1,729,0.2134595155585673,0.14058393525587654,0.21345951555856726,0.14058393525587654,0.9665858072026325,1,547063.8066714533,547063.8066714533,1193765.515359633,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,0.0,1,1.0,0.9972868157360882,6.889727384946149e-16
ew_heavy,2,729,0.20177030033287865,0.12891258074594772,0.20177030033287863,0.12891258074594772,0.9669924181995868,1,557353.2700616763,557353.2700616763,1192943.6754338117,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,0.0,1,1.0,1.0,5.587501744749451e-16
ew_heavy,3,729,0.21749360637738804,0.13411089689685543,0.21749360637738807,0.13411089689685543,0.9677839944788471,1,552462.2809259628,552462.2809259628,1194179.7817149754,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,0.0,1,1.0,0.9994968467240029,6.455876013667401e-16
ew_heavy,4,729,0.2030954946973209,0.13638264503279257,0.2030954946973209,0.13638264503279257,0.9666576300391979,1,565042.4730969651,565042.4730969651,1194500.0955079591,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,0.0,1,1.0000000000000002,0.9998732584466717,7.326863984362316e-16
time_varying,0,729,0.555909562115777,0.5416098421870887,0.555909562115777,0.5416098421870887,-0.09905174563288521,6,810684.3647596852,692184.1418764826,1598586.7137012228,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,17.11975408190563,38,1.0,0.9998007961544223,4.573372413809922e-16
time_varying,1,729,0.5687399129762498,0.5581034047642934,0.56873991297625,0.5581034090859913,-0.0853493558572585,7,802831.6968947325,666398.5800048386,1556437.6378467705,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,20.473200421420955,38,1.0,0.9991147143850182,9.142639691817391e-16
time_varying,2,729,0.5416124583421164,0.5310101904830478,0.5416124583421165,0.5310101904830478,-0.09329519037785572,7,807313.2951553771,669570.6897208054,1597356.8641605012,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,20.571779432580456,38,1.0,0.9988839500966651,9.065913998712366e-16
time_varying,3,729,0.595756027060015,0.5875716733433228,0.595756027060015,0.5875716778932096,-0.11215342940136641,6,799193.3352154206,691691.0081684751,1566988.3413402627,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,15.541958154349917,44,0.9999999999999999,0.9982699873754022,8.805370899484939e-16
time_varying,4,729,0.5630529598036702,0.5490221432364902,0.5630529598036702,0.5490221432364902,-0.116437578231653,7,814182.471921001,683582.738608987,1607069.9970305907,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,19.105183021117476,38,0.9999999999999999,0.9998041912966968,9.089349174516938e-16
downstream_congested,0,729,0.4971667107074617,0.5399896606773713,0.4971667107074618,0.5399896606773713,0.7712222361104343,54,1034642.3660067433,624269.1442819922,1200035.780947803,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,65.73658581135624,1,0.9213836128544771,0.9224025005661363,0.0880503144654088
downstream_congested,1,729,0.4462431836357963,0.4815359393469358,0.4462431836357963,0.4815359393469358,0.7713117279406095,54,1075702.6999167867,580038.5836636992,1201450.3832069202,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,85.45364570789809,1,0.9213836128544771,0.9224025005661363,0.0880503144654088
downstream_congested,2,729,0.4450021095289473,0.4733843504845296,0.44500210952894725,0.4733843504845296,0.7709118209301903,58,1087531.9327276861,625788.0882892708,1199003.106024397,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,73.78597532923543,1,0.9213836128544771,0.9224025005661363,0.0880503144654088
downstream_congested,3,729,0.4746832732643966,0.5292008085382602,0.47468327326439663,0.5292008085382602,0.7713547407593349,54,1060935.5838791744,607944.4081772175,1199879.4738300159,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,74.51194050129479,1,0.9213836128544771,0.9224025005661363,0.0880503144654088
downstream_congested,4,729,0.46529246441442457,0.5002960202797663,0.46529246441442457,0.5002960202797663,0.7712191720030368,57,1066934.98239928,617997.1745364836,1199507.5608116002,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,72.6439903547315,1,0.9213836128544771,0.9224025005661363,0.0880503144654088
